district,month,month_dt,ASSI_before,ASSI_after,risk_probability_before,risk_probability_after
Buldana,2025-06,2025-06-01,29.0,28.86,0.005254476907970312,0.005784233769141502
Buldana,2025-07,2025-07-01,28.06,27.98,0.051152943335394066,0.051152943335394066
Buldana,2025-08,2025-08-01,28.09,28.02,0.009170361028452333,0.06325332526317695
Buldana,2025-09,2025-09-01,29.39,29.23,0.005032105855004978,0.005032105855004978
Buldana,2025-10,2025-10-01,29.66,29.46,0.042357430314116096,0.09107754130679284
Buldana,2025-11,2025-11-01,31.6,31.25,0.007547874399905615,0.019047802733505224
Buldana,2025-12,2025-12-01,26.33,26.16,0.10717954029095529,0.12634099698897186
Buldana,2026-01,2026-01-01,26.98,26.96,0.10434778942450199,0.10434778942450199
Buldhana,2025-03,2025-03-01,32.61,32.11,0.039890002650462004,0.039890002650462004
Buldhana,2025-04,2025-04-01,29.84,29.49,0.05388633126963018,0.689850056172761
Buldhana,2025-05,2025-05-01,33.49,33.1,0.050528680458239765,0.633297018247606
Buldhana,2025-06,2025-06-01,34.99,34.47,0.11223118308754967,0.14627903769179937
Buldhana,2025-07,2025-07-01,33.35,32.93,0.2944172941911606,0.30444739474925675
Buldhana,2025-08,2025-08-01,31.87,31.51,0.7935784474071983,0.7841472140178092
Buldhana,2025-09,2025-09-01,44.25,43.14,0.3216892223643385,0.4773459671447748
Buldhana,2025-10,2025-10-01,37.27,36.52,0.9558730056816135,0.9475738524334678
Buldhana,2025-11,2025-11-01,52.22,50.43,0.1268147674196285,0.18937788365738914
Buldhana,2025-12,2025-12-01,23.04,22.27,0.0864809994687135,0.10582735437385435
Buldhana,2026-01,2026-01-01,28.07,27.99,0.19730267636575186,0.19730267636575186
Chandrapur,2025-03,2025-03-01,32.83,32.34,0.04646038782808469,0.04646038782808469
Chandrapur,2025-04,2025-04-01,30.92,30.54,0.05215120235908411,0.5438545832215975
Chandrapur,2025-05,2025-05-01,35.95,35.4,0.09918236087860914,0.10218551162828365
Chandrapur,2025-06,2025-06-01,38.58,37.75,0.18951349634369163,0.6224909869084504
Chandrapur,2025-07,2025-07-01,31.16,30.84,0.2508796771715458,0.35171820260669506
Chandrapur,2025-08,2025-08-01,30.4,30.15,0.05153035719121789,0.047079497491107805
Chandrapur,2025-09,2025-09-01,37.33,36.67,0.7099107769992671,0.29280257536615706
Chandrapur,2025-10,2025-10-01,39.18,38.31,0.914561218118051,0.9256937501556581
Chandrapur,2025-11,2025-11-01,46.07,44.57,0.0691087584960957,0.08286432998541626
Chandrapur,2025-12,2025-12-01,28.66,27.78,0.09952973057944248,0.10815098449153393
Chandrapur,2026-01,2026-01-01,26.82,26.75,0.16993332760930965,0.16993332760930965
Chatrapati Sambhaji Nagar,2025-03,2025-03-01,27.15,27.12,0.010456537186334821,0.010456537186334821
Chatrapati Sambhaji Nagar,2025-04,2025-04-01,26.77,26.77,0.06578777716404742,0.06578777716404742
Chatrapati Sambhaji Nagar,2025-05,2025-05-01,27.21,27.19,0.005784233769141502,0.005784233769141502
Chatrapati Sambhaji Nagar,2025-06,2025-06-01,27.07,27.06,0.057121739402764986,0.042835742485637894
Chatrapati Sambhaji Nagar,2025-07,2025-07-01,27.36,27.34,0.04111033281931705,0.030698370414563504
Chatrapati Sambhaji Nagar,2025-08,2025-08-01,26.66,26.66,0.07333226469290482,0.05522953523395917
Chatrapati Sambhaji Nagar,2025-09,2025-09-01,27.33,27.31,0.005784233769141502,0.005784233769141502
Chatrapati Sambhaji Nagar,2025-10,2025-10-01,26.92,26.91,0.04550193263744821,0.05430744213780769
Chatrapati Sambhaji Nagar,2025-11,2025-11-01,27.29,27.27,0.005784233769141502,0.005784233769141502
Chatrapati Sambhaji Nagar,2025-12,2025-12-01,27.17,27.14,0.03274503741735588,0.06062080535412665
Chatrapati Sambhaji Nagar,2026-01,2026-01-01,26.65,26.64,0.06578777716404742,0.06578777716404742
Chhatrapati Sambhajinagar,2025-03,2025-03-01,27.12,27.08,0.010456537186334821,0.010456537186334821
Chhatrapati Sambhajinagar,2025-04,2025-04-01,26.7,26.69,0.007473494264151757,0.008225122808857345
Chhatrapati Sambhajinagar,2025-05,2025-05-01,27.5,27.47,0.0040294073166691185,0.005784233769141502
Chhatrapati Sambhajinagar,2025-06,2025-06-01,27.88,27.81,0.005784233769141502,0.005784233769141502
Chhatrapati Sambhajinagar,2025-07,2025-07-01,27.71,27.66,0.057121739402764986,0.057121739402764986
Chhatrapati Sambhajinagar,2025-08,2025-08-01,27.49,27.45,0.057121739402764986,0.042835742485637894
Chhatrapati Sambhajinagar,2025-09,2025-09-01,28.43,28.34,0.005032105855004978,0.005600851373795997
Chhatrapati Sambhajinagar,2025-10,2025-10-01,27.26,27.19,0.07422130856371553,0.04443596928516314
Chhatrapati Sambhajinagar,2025-11,2025-11-01,28.59,28.48,0.005081602372091773,0.03856266652750977
Chhatrapati Sambhajinagar,2025-12,2025-12-01,27.88,27.75,0.02778885173055467,0.053119206917649237
Chhatrapati Sambhajinagar,2026-01,2026-01-01,25.85,25.84,0.11375324387110512,0.14459257966671665
Dharashiv,2025-03,2025-03-01,26.95,26.95,0.010456537186334821,0.010456537186334821
Dharashiv,2025-04,2025-04-01,26.99,26.98,0.0040294073166691185,0.0040294073166691185
Dharashiv,2025-05,2025-05-01,27.07,27.06,0.0040294073166691185,0.0040294073166691185
Dharashiv,2025-06,2025-06-01,27.29,27.26,0.0040294073166691185,0.0040294073166691185
Dharashiv,2025-07,2025-07-01,27.28,27.25,0.03649635761270339,0.06325332526317695
Dharashiv,2025-08,2025-08-01,27.1,27.09,0.051152943335394066,0.051152943335394066
Dharashiv,2025-09,2025-09-01,27.34,27.32,0.005784233769141502,0.006437437311513408
Dharashiv,2025-10,2025-10-01,27.07,27.05,0.06062080535412665,0.04550193263744821
Dharashiv,2025-11,2025-11-01,27.41,27.38,0.007981467336107594,0.04565069980470804
Dharashiv,2025-12,2025-12-01,27.29,27.25,0.006854340991841291,0.00976251624978053
Dharashiv,2026-01,2026-01-01,26.59,26.59,0.06578777716404742,0.06578777716404742
Dhule,2025-03,2025-03-01,33.01,32.52,0.04646038782808469,0.04646038782808469
Dhule,2025-04,2025-04-01,30.87,30.51,0.344988891161511,0.5438545832215975
Dhule,2025-05,2025-05-01,34.5,34.04,0.12398323128313446,0.20894507198930193
Dhule,2025-06,2025-06-01,35.19,34.65,0.14627903769179937,0.2724071700108454
Dhule,2025-07,2025-07-01,34.74,34.23,0.40429134670536604,0.522252025628801
Dhule,2025-08,2025-08-01,31.28,30.97,0.27710724780773816,0.38309659744114233
Dhule,2025-09,2025-09-01,38.56,37.82,0.1213069354002679,0.2364399964527218
Dhule,2025-10,2025-10-01,34.87,34.26,0.9566568866605542,0.9075506552473029
Dhule,2025-11,2025-11-01,38.99,38.07,0.08619962606455574,0.3838808286642702
Dhule,2025-12,2025-12-01,31.97,31.33,0.6298739187376444,0.4909401424220102
Dhule,2026-01,2026-01-01,25.9,25.84,0.11201015367307311,0.11201015367307311
Gadchiroli,2025-03,2025-03-01,30.39,30.13,0.010456537186334821,0.010456537186334821
Gadchiroli,2025-04,2025-04-01,29.35,29.15,0.08780384533206644,0.059222631423756736
Gadchiroli,2025-05,2025-05-01,31.03,30.76,0.04462888653418061,0.049532839421501614
Gadchiroli,2025-06,2025-06-01,34.51,34.0,0.10646104949626901,0.10646104949626901
